r1q1,r1q2,r1q3,r1q4,r1q5,r1q6,r2q1,r2q2,r2q3,r2q4,r2q5,r3q1,r3q2,r3q3,r3q4,r3q5,r3q6,r3q7,r3q8,r4q1,r4q2,r4q3,r4q4,r4q5,r5q1,r5q2,r5q3,r5q4,r5q5,r5q6,final_score,team_id
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,5,0
False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,1
False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,9,2
True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9,3
False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,10,4
False,False,True,False,False,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,12,5
False,False,True,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,13,6
False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False,False,True,True,True,False,False,True,False,False,False,True,False,14,7
True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,True,False,True,True,True,False,True,False,False,False,False,14,8
True,False,True,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,14,9
False,False,True,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,14,10
True,False,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,15,11
True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,15,12
False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,16,13
False,True,True,True,False,True,False,False,False,True,True,False,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,16,14
False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,19,15
False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,20,16
False,False,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,20,17
False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,False,True,False,20,18
True,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,False,False,False,20,19
False,False,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,21,20
True,False,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,21,21
True,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,True,False,21,22
True,False,True,False,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,22,23
True,False,True,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,22,24
False,False,True,True,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,23,25
True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,True,True,True,True,True,True,False,False,23,26
False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,24,27
True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,False,24,28
True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,25,29
True,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,25,30
False,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,26,31
False,False,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,26,32
False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,27,33
False,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,27,34
True,False,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,30,35
